人事招聘专员,汽车,武汉盟盛人新能源汽车产业园发展股份有限公司,大专,3.5-4千,2年,武汉
智能家居设计师（米加系统）,计算机软件,贵州泰宇科技有限公司,大专,8千-1.2万,2年,贵阳
照明电气工程师,建筑/建材/工程,广东智源信达工程有限公司,大专,8千-1.2万,3-4年,广州
汽车事业部销售工程师,检测，认证,谱尼测试集团上海有限公司,本科,8千-1.2万,2年,上海
财富顾问,金融/投资/证券,银泰证券有限责任公司,大专,6千-1.2万,1年,宁波
疫苗推广专员,制药/生物工程,云南楹熙生物科技有限公司,大专,6-8千,2年,红河州
大客户代表,建筑/建材/工程,上海木雅实验室设备有限公司,大专,8千-1万,3-4年,上海
仓库质检管理员（皮具包包）,贸易/进出口,广州步步新贸易有限公司,中技/中专,4-7千,1年,广州
新媒体主播,房地产,台州申联置业有限公司,高中,7-8千,2年,台州
CNC操作员,通信/电信运营、增值服务,金岛精密科技（深圳）有限公司,初中及以下,6.1-7.1千,无需经验,深圳
工艺工程师,电子技术/半导体/集成电路,谦龙应用材料（苏州）有限公司,中技/中专,5.5-8千,无需经验,太仓
调试维护技术员,机械/设备/重工,东莞市冠佳电子设备有限公司,中技/中专,6-8千·13薪,2年,东莞
销售经理,仪器仪表/工业自动化,山东大世自动化科技有限公司,大专,4-6千·13薪,3-4年,潍坊
IPQC,通信/电信运营、增值服务,金岛精密科技（深圳）有限公司,,5.5-6.5千,1年,深圳
售后客服,交通/运输/物流,南京信禄君交通科技有限公司,大专,3.5-4.5千,无需经验,南京
各部门管理干部,电子技术/半导体/集成电路,湖北联新显示科技有限公司,大专,1-2万·13薪,3-4年,黄石
品质工程师,原材料和加工,佛山市本嘉新材料科技有限公司,大专,9千-1.3万·13薪,2年,佛山
坦克4S店销售顾问（长城品牌）,汽车,江苏宁枫投资发展集团有限公司,大专,1-2万,1年,南京
汽车变速器液压工程师（ZZ-HZ04）,汽车零配件,浙江万里扬股份有限公司,本科,1.2-1.8万·13薪,3-4年,杭州
电子焊锡工,机械/设备/重工,杭州力夫机电制造有限公司,初中及以下,6-7千,1年,杭州
运管专员,多元化业务集团公司,江苏龙城国有控股集团有限公司,本科,6.5千-1万,3-4年,常州
CNC/数控工程师,汽车零配件,摩擦一号制动科技（仙桃）有限公司,大专,6.5-9千,3-4年,仙桃
CNC操作工（急招）,汽车,上海典亚模具有限公司,中技/中专,7-9千,2年,上海
仓库管理员,电子技术/半导体/集成电路,杭州高裕电子科技股份有限公司,大专,5-8千·13薪,2年,杭州
商务主管（销售跟单）,电子技术/半导体/集成电路,武汉斯优光电技术有限公司,大专,5-8千,3-4年,武汉
PMC,计算机硬件,深圳市优彩佳科技有限公司,大专,6千-1万,2年,深圳
土建工程资料员,电气/电力/水利,浙江安胜捷能源建设有限公司,大专,5-6千,1年,浙江省
生产主管,快速消费品(食品、饮料、化妆品),沪金（苏州）实业有限公司,高中,0.8-1万,5-7年,太仓
财务主管（总账会计）,农/林/牧/渔,广西金陵农牧集团有限公司,大专,6-9千,1年,南宁
设备部部长,石油/化工/矿产/地质,帕特克（武汉）科技有限公司,大专,1-1.4万,5-7年,十堰
财务分析主管,服装/纺织/皮革,天虹（中国）投资有限公司,本科,1.5-2万·13薪,5-7年,上海
研发经理,新能源,苏州汇骏电子科技有限公司,大专,1-2万,5-7年,苏州
项目工程师,汽车,准特科技（苏州）有限公司,大专,6千-1万·14薪,5-7年,苏州
广西海南贵州区域销售（教育装备）,教育/培训/院校,江苏乐百仕教育科技有限公司,大专,6千-1.2万,1年,南京
线切割工,贸易/进出口,株洲固特机电模具制造有限公司,高中,5-8千,2年,长沙
江北大石坝商场急聘女装导购,服装/纺织/皮革,重庆市瑾凤服饰有限公司,高中,4-8千,无需经验,重庆
结构力学工程师,机械/设备/重工,苏州三峰激光科技有限公司,硕士,16-22万/年,3-4年,苏州
白酒业务员（底薪6K）,贸易/进出口,南京韵歌工贸有限公司,大专,7千-1.4万,1年,南京
项目经理-日系,汽车,敏实集团,本科,1-2万·15薪,3-4年,嘉兴
三次元测量工程师,贸易/进出口,深圳市中德模具科技有限公司,高中,8.5千-1.2万·13薪,2年,深圳
仓管员,计算机软件,河源市勤进达实业有限公司,高中,6-6.5千,2年,东莞
总经理专职司机（代招）,医疗/护理/卫生,杭州和合医学检验实验室有限公司,大专,6-8千·13薪,5-7年,杭州
生产经理,机械/设备/重工,宁波康居金属制品有限公司,大专,8千-1万,5-7年,宁波
出纳（总部岗位）,物业管理/商业中心,深圳市卓越商业管理有限公司,本科,7千-1万·15薪,2年,深圳
丝印工,计算机软件,河源市勤进达实业有限公司,初中及以下,5.5-7.5千,2年,东莞
仓库管理员,汽车零配件,森瑞（江苏）塑料制品有限公司,中技/中专,5.5-6千·13薪,2年,常州
招聘经理,公关/市场推广/会展,广东艺时代文化产业投资发展有限公司,大专,7.5-9千,2年,广州
IT主管/经理,物业管理/商业中心,深圳市卓越商业管理有限公司,本科,1-1.5万·15薪,3-4年,深圳
QC,计算机软件,河源市勤进达实业有限公司,初中及以下,5.5-7.5千,2年,东莞
嵌入式工程师,制药/生物工程,江苏博美达生命科学有限公司,本科,1.2-1.8万,3-4年,太仓
机加工报价工程师,原材料和加工,深圳市杰准精密机械有限公司,高中,1-1.5万,5-7年,深圳
模拟/电源集成电路设计工程师,电子技术/半导体/集成电路,北京普能微电子科技有限公司,硕士,3-6万,3-4年,南京
工艺研发工程师,汽车,苏州恩都法汽车系统股份有限公司,大专,9千-1.2万·13薪,10年以上,苏州
Java软件开发工程师,计算机软件,欧梯希软件（郑州）有限公司,大专,1-1.3万,1年,郑州
外贸业务员,贸易/进出口,上海昌军进出口贸易有限公司,大专,6-8千,2年,上海
主播（旅游行业）,酒店/旅游,深圳市温泉之家国际旅行社有限公司,高中,6.7-9千,1年,深圳
品质部 部长 （新能源）,新能源,深圳哲思锂电循环科技有限公司,本科,1.5-2万,5-7年,东莞
高级嵌入式软件工程师,通信/电信运营、增值服务,南京泰通科技股份有限公司,本科,2.3-3.5万·13薪,8-9年,南京
机械工程师,原材料和加工,株洲恒泰新材料有限公司,本科,7千-1万,3-4年,株洲
酒店经理,批发/零售,深圳市鸿都时尚投资发展有限公司,大专,7千-1.3万,2年,深圳
自媒体运营专员,教育/培训/院校,武汉哥图文化传媒有限公司,大专,4.5-9千,1年,武汉
生产主管,计算机硬件,三一智造（深圳）有限公司,中技/中专,0.8-1万,1年,深圳
安装工程经理,房地产,龙湖集团地产,本科,1.5-2.5万·13薪,5-7年,南京
公寓/市场管理员,批发/零售,深圳市鸿都时尚投资发展有限公司,高中,4-8千,2年,深圳
SMT设备工程师,电子技术/半导体/集成电路,苏州汉瑞森光电科技股份有限公司,中技/中专,9千-1.2万,2年,苏州
SMT拉长/领班/SMT副主管,计算机硬件,三一智造（深圳）有限公司,高中,6-8千,2年,深圳
大量招聘客服和审核人员,外包服务,上海煊橙信息科技有限公司,,3-5千,无需经验,柳州
审计经理,会计/审计,大信会计师事务所（特殊普通合伙）长沙分所,本科,8千-1万·16薪,5-7年,长沙
行政前台,电子技术/半导体/集成电路,常州鼎先电子有限公司,高中,4-5千,2年,常州
巡检员,机械/设备/重工,无锡市中天塑料保持架制造有限公司,中技/中专,5-7千,1年,无锡
英语助教,影视/媒体/艺术/文化传播,深圳市力中萱书店有限公司,本科,8千-1.2万,1年,深圳
主播（旅游行业）,酒店/旅游,深圳市温泉之家国际旅行社有限公司,高中,6.7-9千,1年,深圳
品质部 部长 （新能源）,新能源,深圳哲思锂电循环科技有限公司,本科,1.5-2万,5-7年,东莞
